Gene,Group
Prkcd,AGC
Prkce,AGC
Prkcg,AGC
Prkch,AGC
Prkci,AGC
Prkcq,AGC
Prkcz,AGC
Prkd1,CAMK
Prkd2,CAMK
Prkd3,CAMK
Prkdc,AKG
Prkg1,AGC
Prkg2,AGC
Prkx,AGC
Prpf4b,CMGC
Prps1,NA
Prps1l1,NA
Prps2,NA
Pskh1,CAMK
Pstk,NA
Ptk2,TK
Ptk2b,TK
Ptk6,TK
Ptk7,TK
Pxk,Other
Raf1,TKL
Rbks,NA
Ret,TK
Rfk,NA
Riok1,AKG
Riok2,AKG
Riok3,AKG
Ripk1,TKL
Ripk2,TKL
Ripk3,TKL
Ripk4,TKL
Rnasel,Other
Rock1,AGC
Rock2,AGC
Ror1,TK
Ror2,TK
Ros1,TK
Rps6ka1,AGC
Rps6ka2,AGC
Rps6ka3,AGC
Rps6ka4,AGC
Rps6ka5,AGC
Rps6ka6,AGC
Rps6kb1,AGC
Rps6kb2,AGC
Rps6kc1,AGC
Rps6kl1,AGC
Rskr,AGC
Ryk,TK
Sbk1,Other
Sbk2,Other
Sbk3,Other
Scyl1,Other
Scyl2,Other
Scyl3,Other
Selenoo,NA
Sephs1,NA
Sephs2,NA
Sgk1,AGC
Sgk2,AGC
Sgk3,AGC
Sgms1,NA
Sgms2,NA
Shpk,NA
Sik1,CAMK
Sik2,CAMK
Sik3,CAMK
Slk,STE
Smg1,AKG
Snrk,CAMK
Speg,CAMK
Sphk1,NA
Sphk2,NA
Src,TK
Srms,TK
Srpk1,CMGC
Srpk2,CMGC
Srpk3,CMGC
Stk10,STE
Stk11,CAMK
Stk16,Other
Stk17b,CAMK
Stk19,AKG
Stk24,STE
Stk25,STE
Stk26,STE
Stk3,STE
Stk31,Other
Stk32a,AGC
Stk32b,AGC
Stk32c,AGC
Stk33,CAMK
Stk35,Other
Stk36,Other
Stk38,AGC
Stk38l,AGC
Stk39,STE
Stk4,STE
Stk40,CAMK
Stkld1,Other
Strada,STE
Stradb,STE
Styk1,TK
Syk,TK
Taf1,AKG
Taok1,STE
Taok2,STE
Taok3,STE
Tbck,Other
Tbk1,Other
Tbrg4,NA
Tec,TK
Tek,TK
Tesk1,TKL
Tesk2,TKL
Tex14,Other
Tgfbr1,TKL
Tgfbr2,TKL
Tie1,TK
Tk1,NA
Tk2,NA
Tkfc,NA
Tlk1,Other
Tlk2,Other
Tnik,STE
Tnk1,TK
Tnk2,TK
Tnni3k,TKL
Top1,NA
Tpk1,NA
Trib1,CAMK
Trib2,CAMK
Trib3,CAMK
Trim24,AKG
Trim28,AKG
Trim33,AKG
Trim66,AKG
Trio,CAMK
Trp53rkb,Other
Trpm6,AKG
Trpm7,AKG
Trrap,AKG
Tssk2,CAMK
Tssk3,CAMK
Tssk4,CAMK
Tssk6,CAMK
Ttbk1,CK1
Ttbk2,CK1
Ttk,Other
Ttn,CAMK
Txk,TK
Tyk2,TK
Tyro3,TK
Uck1,NA
Uck2,NA
Uckl1,NA
Uhmk1,Other
Ulk1,Other
Ulk2,Other
Ulk3,Other
Ulk4,Other
Vrk1,CK1
Vrk2,CK1
Vrk3,CK1
Wee1,Other
Wee2,Other
Wnk1,Other
Wnk2,Other
Wnk3,Other
Wnk4,Other
Xylb,NA
Yes1,TK
Zap70,TK
