Gene,Group
PRKCG,AGC
PRKCH,AGC
PRKCI,AGC
PRKCQ,AGC
PRKCZ,AGC
PRKD1,CAMK
PRKD2,CAMK
PRKD3,CAMK
PRKDC,AKG
PRKG1,AGC
PRKG2,AGC
PRKX,AGC
PRPF4B,CMGC
PRPS1,NA
PRPS1L1,NA
PRPS2,NA
PSKH1,CAMK
PSKH2,CAMK
PSTK,NA
PTK2,TK
PTK2B,TK
PTK6,TK
PTK7,TK
PXK,Other
RAF1,TKL
RBKS,NA
RET,TK
RFK,NA
RIOK1,AKG
RIOK2,AKG
RIOK3,AKG
RIPK1,TKL
RIPK2,TKL
RIPK3,TKL
RIPK4,TKL
RNASEL,Other
ROCK1,AGC
ROCK2,AGC
ROR1,TK
ROR2,TK
ROS1,TK
RPS6KA1,AGC
RPS6KA2,AGC
RPS6KA3,AGC
RPS6KA4,AGC
RPS6KA5,AGC
RPS6KA6,AGC
RPS6KB1,AGC
RPS6KB2,AGC
RPS6KC1,AGC
RPS6KL1,AGC
RSKR,AGC
RYK,TK
SBK1,Other
SBK2,Other
SBK3,Other
SCYL1,Other
SCYL2,Other
SCYL3,Other
SELENOO,NA
SEPHS1,NA
SEPHS2,NA
SGK1,AGC
SGK2,AGC
SGK3,AGC
SGMS1,NA
SGMS2,NA
SHPK,NA
SIK1,CAMK
SIK1B,NA
SIK2,CAMK
SIK3,CAMK
SLK,STE
SMG1,AKG
SNRK,CAMK
SPEG,CAMK
SPHK1,NA
SPHK2,NA
SRC,TK
SRMS,TK
SRPK1,CMGC
SRPK2,CMGC
SRPK3,CMGC
STK10,STE
STK11,CAMK
STK16,Other
STK17A,CAMK
STK17B,CAMK
STK19,AKG
STK24,STE
STK25,STE
STK26,STE
STK3,STE
STK31,Other
STK32A,AGC
STK32B,AGC
STK32C,AGC
STK33,CAMK
STK35,Other
STK36,Other
STK38,AGC
STK38L,AGC
STK39,STE
STK4,STE
STK40,CAMK
STKLD1,Other
STRADA,STE
STRADB,STE
STYK1,TK
SYK,TK
TAF1,AKG
TAF1L,AKG
TAOK1,STE
TAOK2,STE
TAOK3,STE
TBCK,Other
TBK1,Other
TBRG4,NA
TEC,TK
TEK,TK
TESK1,TKL
TESK2,TKL
TEX14,Other
TGFBR1,TKL
TGFBR2,TKL
TIE1,TK
TK1,NA
TK2,NA
TKFC,NA
TLK1,Other
TLK2,Other
TNIK,STE
TNK1,TK
TNK2,TK
TNNI3K,TKL
TOP1,NA
TP53RK,Other
TPK1,NA
TRIB1,CAMK
TRIB2,CAMK
TRIB3,CAMK
TRIM24,AKG
TRIM28,AKG
TRIM33,AKG
TRIM66,AKG
TRIO,CAMK
TRPM6,AKG
TRPM7,AKG
TRRAP,AKG
TSSK1B,CAMK
TSSK2,CAMK
TSSK3,CAMK
TSSK4,CAMK
TSSK6,CAMK
TTBK1,CK1
TTBK2,CK1
TTK,Other
TTN,CAMK
TXK,TK
TYK2,TK
TYRO3,TK
UCK1,NA
UCK2,NA
UCKL1,NA
UHMK1,Other
ULK1,Other
ULK2,Other
ULK3,Other
ULK4,Other
VRK1,CK1
VRK2,CK1
VRK3,CK1
WEE1,Other
WEE2,Other
WNK1,Other
WNK2,Other
WNK3,Other
WNK4,Other
XYLB,NA
YES1,TK
ZAP70,TK
